Id,Value,Notes
Str_Settings_Video,"Video",
Str_Settings_Resolution,"Resolution",
Str_Settings_Mode,"Mode",Video mode (fullscreen or windowed)
Str_Settings_Audio,"Audio",
Str_Settings_Music,"Music",
Str_Settings_Sound,"Sound",
Str_Settings_UI,"UI",
Str_Settings_Language,"Language",
Str_Settings_Keyboard,"Keyboard",
Str_Settings_Backlog,"Backlog",
Str_Settings_Mailbox,"Mailbox",
Str_Settings_People,"People",
Str_Settings_Spending,"Spending",
Str_Settings_Pricing,"Pricing",
Str_Settings_Infrastructure,"Infrastructure",
Str_Settings_Stats,"Stats",
Str_Settings_Investment,"Investment",
Str_Settings_RunSprint,"Run Sprint",
Str_Settings_Apply,"Apply",
Str_Settings_Windowed,"Windowed",
Str_Settings_Fullscreen,"Fullscreen",
Str_Menu_New,"New",
Str_Menu_Load,"Load",
Str_Menu_SaveLoad,"Save / Load",
Str_Menu_Save,"Save",
Str_Menu_Overwrite,"Overwrite",
Str_Menu_Options,"Options",
Str_Menu_HighScores,"High Scores",
Str_Menu_Return,"Return to Game",
Str_Menu_Exit,"Exit",
Str_Misc_Company,"Company",
Str_Misc_CompanyName,"Name",
Str_Misc_Product,"Product",
Str_Misc_CEO,"CEO",
Str_Misc_Reset,"Reset",
Str_Misc_Close,"Close",
Str_Misc_Valuation,"Valuation",
Str_Misc_Furniture,"Furniture",
Str_Misc_Office,"Office",
Str_Misc_Marketing,"Marketing",
Str_Misc_Branding,"Branding",
Str_Misc_Cost,"Cost",
Str_Misc_PerMonthDollarFormat,"{0:C0} /m",
Str_Misc_PerMonth,"per month",
Str_Misc_Current,"Current",
Str_Misc_Max,"Max",
Str_Misc_Users,"Users",
Str_Misc_TotalUsers,"Total Users",
Str_Misc_RevenuePerMonth,"Revenue /m",
Str_Misc_ExpenditurePerMonth,"Expenditure /m",
Str_Misc_VisitorsPerMonth,"Visitors /m",
Str_Misc_SignupsPerMonth,"Signups /m",
Str_Misc_ChurnPerMonth,"Churn /m",
Str_Misc_Cancel,"Cancel",
Str_Misc_Start,"Start",
Str_Misc_Total,"Total",
Str_Person_Name,"Name",
Str_Person_Gender,"Gender",
Str_Person_Appearance,"Appearance",
Str_Person_Clothes,"Clothes",
Str_Person_Salary,"Salary",
Str_Person_PrimarySkill,"Primary Skill",
Str_Person_SecondarySkill,"Secondary Skill",
Str_Person_Attitude,"Attitude",
Str_Person_Sensitivity,"Sensitivity",
Str_Person_Happiness,"Happiness",
Str_Person_Train,"Train {0} Sprints",
Str_Person_Training,"Training",
Str_Person_Hire,"Hire",
Str_Person_Fire,"Make Redundant ({0:C0})",
Str_Person_BiggestConcern,"Biggest Concern: {0}",
Str_Person_Sir,"Sir",
Str_Person_Madam,"Madam",
Str_Person_MaxSkill,"Max {0}",
Str_Skill_Development,"Development",
Str_Skill_Design,"Design",
Str_Skill_SalesAndMarketing,"Sales and Marketing",
Str_Skill_Operations,"Operations",
Str_Skill_Development_Short,"Dev",
Str_Skill_Design_Short,"Design",
Str_Skill_SalesAndMarketing_Short,"Sales",
Str_Skill_Operations_Short,"Ops",
Str_CompanyCreation_Startup,"Start up!",
Str_Industry_PhotoSharing,"Photo Sharing Service",
Str_Industry_MusicStreaming,"Music Streaming",
Str_Industry_Analytics,"Analytics Platform",
Str_Difficulty_Easy,"Easy",
Str_Difficulty_Normal,"Normal",
