Id,Value,Notes
Str_Settings_Video,Video,
Str_Settings_Resolution,Rezolutie,
Str_Settings_Mode,Mod,Video mode (fullscreen or windowed)
Str_Settings_Audio,Audio,
Str_Settings_Music,Muzica,
Str_Settings_Sound,Sunete,
Str_Settings_UI,UI,
Str_Settings_Language,Limba,
Str_Settings_Keyboard,Tastatura,
Str_Settings_Backlog,Backlog,
Str_Settings_Mailbox,Mailuri,
Str_Settings_People,Echipa,
Str_Settings_Spending,Cheltuieli,
Str_Settings_Pricing,Preturi,
Str_Settings_Infrastructure,Infrastructura,
Str_Settings_Stats,Statistice,
Str_Settings_Investment,Investitie,
Str_Settings_RunSprint,Ruleaza Tura,
Str_Settings_Apply,Aplica,
Str_Settings_Windowed,Fereastra,
Str_Settings_Fullscreen,Ecran Complet,
Str_Menu_New,Nou,
Str_Menu_Load,Incarca,
Str_Menu_SaveLoad,Salveaza / Incarca,
Str_Menu_Save,Salveaza,
Str_Menu_Overwrite,Suprascrie,
Str_Menu_Options,Optiuni,
Str_Menu_HighScores,Scoruri,
Str_Menu_Credits,"Credits",
Str_Menu_Return,Intoarce-te in Joc,
Str_Menu_Exit,Iesi,
Str_Misc_Company,Companie,
Str_Misc_CompanyName,Nume,
Str_Misc_Product,Produs,
Str_Misc_CEO,CEO,
Str_Misc_Reset,Reseteaza,
Str_Misc_Close,Inchide,
Str_Misc_Valuation,Expertiza,
Str_Misc_Furniture,Mobila,
Str_Misc_Office,Birou,
Str_Misc_Marketing,Marketing,
Str_Misc_Branding,Logo,
Str_Misc_Cost,Costa,
Str_Misc_PerMonthDollarFormat,{0:C0} / luna,
Str_Misc_PerMonth,pe luna,
Str_Misc_Current,Curent,
Str_Misc_Max,Maxim,
Str_Misc_Users,Utilizator,
Str_Misc_TotalUsers,Total Utilizatori,
Str_Misc_RevenuePerMonth,Venit / luna,
Str_Misc_ExpenditurePerMonth,Cheltuieli / luna,
Str_Misc_VisitorsPerMonth,Vizitatori / luna,
Str_Misc_SignupsPerMonth,Inregistrari / luna,
Str_Misc_ChurnPerMonth,Churn / luna,
Str_Misc_Cancel,Anuleaza,
Str_Misc_Start,Incepe,
Str_Misc_Total,Total,
